CellNum	Stage	Mother/daughter	mtDNA rep observed	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				Slide2_020818_114	1	1	1	cytoplasm	EdU	37	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.206	53.381	15.516	19	103	14.975	10.331	14.973	10.333	11.001	52	28185
16	G1	M	1	Slide2_020818_115	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	10.404	61.096	60.06	8	255	13.518	14.353	13.577	14.767	635.651	38	1628577
				Slide2_020818_116	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	10.404	54.073	19.248	9	167	13.518	14.353	13.56	14.454	562.585	52	1441378
				Slide2_020818_117	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.068	204.443	49.842	52	255	13.567	15.038	13.549	15.05	218.323	219	559356
				Slide2_020818_118	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.068	68.339	17.944	25	140	13.567	15.038	13.562	15.028	72.978	67	186975
				Slide2_020818_119	1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.104	34.519	12.835	10	83	13.297	15.996	13.299	15.991	3.584	32	9182
				Slide2_020818_120	1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.104	52.124	16.258	20	122	13.297	15.996	13.297	15.99	5.412	50	13865
17	T	M	1	Slide2_020818_121	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	9.877	25.322	16.703	8	142	8.837	5.654	8.98	5.468	250.095	21	535784
				Slide2_020818_122	1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	9.877	49.764	15.332	12	132	8.837	5.654	8.821	5.613	491.506	48	1052965
				Slide2_020818_123	1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	1.385	51.413	19.537	12	142	9.374	5	9.335	5.001	71.204	48	152542
				Slide2_020818_124	1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	1.385	56.604	14.621	16	126	9.374	5	9.355	5.003	78.394	55	167945
